School Name,Regents Exam,Year,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Period,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,School Type,School Level,latitude,longitude,formatted_address,ZIP Code,Neighborhood
"""47"" The American Sign Language and English Secondary School",Common Core Algebra,2020,14,54.7,64.3,35.7,0.0,COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Living Environment,2023,25,61.4,56.0,44.0,8.0,COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core English,2020,30,76.8,13.3,86.7,43.3,COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core English,2017,31,76.9,12.9,87.1,58.1,pre-COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core Algebra,2022,33,57.4,69.7,30.3,0.0,COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core Algebra,2023,35,62.1,54.3,45.7,2.9,COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core English,2018,38,77.54,13.14,86.86,57.87,pre-COVID,0.0,31.58,68.42,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Living Environment,2022,40,67.1,27.5,72.5,12.5,COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Living Environment,2018,45,63.98,37.76,62.24,4.43,pre-COVID,0.0,22.22,77.78,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core English,2019,46,75.87,17.42,82.58,50.0,pre-COVID,0.0,47.83,52.17,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core Algebra,2018,49,59.07,57.17,42.83,2.06,pre-COVID,0.0,26.53,73.47,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Living Environment,2017,49,67.05,30.6,69.4,10.21,pre-COVID,0.0,34.69,65.31,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core English,2023,49,71.4,18.4,81.6,24.5,COVID,0.0,0.0,100.0,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Living Environment,2019,55,69.04,29.1,70.93,18.18,pre-COVID,0.0,29.09,70.91,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core Algebra,2019,74,66.48,37.84,62.16,10.82,pre-COVID,0.0,32.43,67.57,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
"""47"" The American Sign Language and English Secondary School",Common Core Algebra,2017,109,69.22,23.83,76.17,11.01,pre-COVID,0.0,35.78,64.22,0.0,Special Education,High school,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill
A-Tech High School,Living Environment,2020,30,48.4,90.02,9.98,0.0,COVID,0.0,60.0,40.0,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core Algebra,2020,37,53.65,67.59,32.45,0.0,COVID,0.0,43.24,56.76,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core Algebra,2022,56,71.26,12.49,87.51,3.6,COVID,0.0,35.71,64.29,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Living Environment,2022,62,76.53,9.72,90.28,53.24,COVID,0.0,29.03,70.97,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core English,2020,93,64.85,39.76,60.24,19.35,COVID,0.0,49.46,50.54,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Living Environment,2023,100,67.7,27.0,73.0,11.02,COVID,0.0,46.0,54.0,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core English,2019,109,64.3,37.59,62.41,13.78,pre-COVID,0.0,52.29,42.2,5.5,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Living Environment,2019,111,62.84,51.33,48.67,10.84,pre-COVID,0.0,51.35,48.65,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core Algebra,2019,122,60.11,62.31,37.69,0.84,pre-COVID,0.0,47.54,52.46,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core English,2018,124,65.65,29.01,70.99,20.96,pre-COVID,4.84,56.45,38.71,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core English,2017,130,61.71,47.66,52.34,15.38,pre-COVID,0.0,53.85,46.15,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core Algebra,2017,131,63.52,40.45,59.55,2.28,pre-COVID,0.0,52.67,47.33,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core English,2023,134,69.53,29.84,70.16,32.88,COVID,0.0,33.58,66.42,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Living Environment,2018,137,65.85,37.95,62.05,10.2,pre-COVID,0.0,61.31,38.69,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core Algebra,2018,143,58.94,54.56,45.44,0.0,pre-COVID,0.0,51.75,43.36,4.9,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Living Environment,2017,153,61.92,49.02,50.98,4.58,pre-COVID,4.58,54.25,41.18,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A-Tech High School,Common Core Algebra,2023,172,61.76,48.27,51.73,4.64,COVID,0.0,44.77,55.23,0.0,Career Technical,High school,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint
A. Philip Randolph Campus High School,Common Core English,2022,21,62.83,33.37,66.63,4.73,COVID,0.0,33.33,66.67,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Living Environment,2020,30,58.3,70.0,30.0,6.7,COVID,0.0,0.0,100.0,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core Algebra,2020,58,53.27,74.17,25.83,1.7,COVID,0.0,34.48,65.52,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core Algebra,2023,163,67.18,40.51,59.49,23.32,COVID,0.0,36.2,63.8,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core Algebra,2022,163,70.2,25.16,74.84,23.3,COVID,6.13,33.13,60.74,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
